"Table 2a: Estimated population of settlements by broad age groups, mid-2012",,,,,,,,
,,,,,,,,
Settlement Name,Settlement Code,All Ages,Age Group,,,,,
,,,Under 16,16 to 64,65 & Over,,,
Doune,S20000653," 1,760 ", 335 ," 1,055 ", 370 ,,,
Drongan,S20000654," 3,170 ", 603 ," 2,017 ", 550 ,,,
Drumnadrochit,S20000655," 1,130 ", 206 , 694 , 230 ,,,
Drumoak,S20000656, 860 , 144 , 553 , 163 ,,,
Drymen,S20000657, 830 , 155 , 459 , 216 ,,,
Dufftown,S20000658," 1,660 ", 278 , 977 , 405 ,,,
Dullatur,S20000659, 720 , 208 , 470 , 42 ,,,
Dumbarton,S20000660," 20,480 "," 3,434 "," 13,576 "," 3,470 ",,,
Dumfries,S20000661," 33,280 "," 5,785 "," 21,152 "," 6,343 ",,,
Dunbar,S20000662," 8,470 "," 1,791 "," 5,152 "," 1,527 ",,,
Dunbeg,S20000663, 610 , 106 , 364 , 140 ,,,
Dunblane,S20000664," 8,830 "," 1,998 "," 5,142 "," 1,690 ",,,
Dundee,S20000665," 157,690 "," 25,227 "," 104,607 "," 27,856 ",,,
Dundonald,S20000666," 2,670 ", 473 ," 1,595 ", 602 ,,,
Dunfermline,S20000667," 71,820 "," 13,835 "," 47,414 "," 10,571 ",,,
Dunkeld and Birnam,S20000668," 1,320 ", 204 , 786 , 330 ,,,
Dunlop,S20000669," 1,160 ", 227 , 683 , 250 ,,,
Dunning,S20000670, 930 , 161 , 574 , 195 ,,,
Dunoon,S20000671," 9,540 "," 1,591 "," 5,610 "," 2,339 ",,,
Duns,S20000672," 2,680 ", 401 ," 1,604 ", 675 ,,,
Eaglesfield,S20000673, 680 , 88 , 440 , 152 ,,,
Eaglesham,S20000674," 3,150 ", 610 ," 1,902 ", 638 ,,,
Earlston,S20000675," 1,780 ", 327 ," 1,055 ", 398 ,,,
East Calder,S20000676," 4,710 ", 745 ," 3,243 ", 722 ,,,
East Kilbride,S20000677," 74,740 "," 13,047 "," 48,464 "," 13,229 ",,,
East Linton,S20000678," 1,700 ", 290 ," 1,018 ", 392 ,,,
East Wemyss,S20000679," 1,970 ", 334 ," 1,280 ", 356 ,,,
Eastriggs,S20000680," 1,850 ", 293 ," 1,184 ", 373 ,,,
Ecclefechan,S20000681, 850 , 150 , 515 , 185 ,,,
Edinburgh,S20000682," 488,610 "," 73,911 "," 342,752 "," 71,947 ",,,
Edzell,S20000683, 900 , 121 , 457 , 322 ,,,
Elgin,S20000684," 22,980 "," 4,336 "," 14,552 "," 4,092 ",,,
Elie and Earlsferry,S20000685, 690 , 82 , 302 , 306 ,,,
Ellon,S20000686," 10,100 "," 1,688 "," 6,588 "," 1,824 ",,,
Elphinstone,S20000687, 540 , 77 , 331 , 132 ,,,
Errol,S20000688," 1,410 ", 245 , 892 , 273 ,,,
Erskine,S20000689," 17,440 "," 3,270 "," 11,274 "," 2,896 ",,,
Evanton,S20000690," 1,380 ", 273 , 876 , 231 ,,,
Eyemouth,S20000691," 3,430 ", 607 ," 2,031 ", 792 ,,,
Fairlie,S20000692," 1,440 ", 214 , 832 , 394 ,,,
Falkirk,S20000693," 100,480 "," 17,880 "," 65,148 "," 17,452 ",,,
Falkland,S20000694," 1,110 ", 175 , 748 , 187 ,,,
Fallin,S20000695," 2,850 ", 593 ," 1,903 ", 354 ,,,
Fauldhouse,S20000696," 4,840 ", 907 ," 3,117 ", 816 ,,,
Fenwick,S20000697," 1,070 ", 180 , 624 , 266 ,,,
Findhorn,S20000698, 880 , 146 , 538 , 196 ,,,
Findochty,S20000699," 1,180 ", 218 , 698 , 264 ,,,
Fochabers,S20000700," 1,690 ", 276 ," 1,008 ", 406 ,,,
Forfar,S20000701," 13,970 "," 2,377 "," 8,538 "," 3,055 ",,,
Forgandenny,S20000702, 590 , 233 , 312 , 45 ,,,
Forres,S20000703," 9,900 "," 1,638 "," 6,146 "," 2,116 ",,,
Fort Augustus,S20000704, 670 , 91 , 415 , 164 ,,,
Fort William,S20000705," 10,450 "," 2,074 "," 6,565 "," 1,811 ",,,
Forth,S20000706," 2,240 ", 387 ," 1,360 ", 493 ,,,
Fortrose,S20000707," 1,400 ", 185 , 818 , 397 ,,,
Fraserburgh,S20000708," 13,140 "," 2,307 "," 8,486 "," 2,347 ",,,
Freuchie,S20000709," 1,240 ", 208 , 746 , 286 ,,,
Friockheim,S20000710," 1,010 ", 177 , 614 , 219 ,,,
Galashiels,S20000711," 14,760 "," 2,403 "," 9,762 "," 2,595 ",,,
Galston,S20000712," 4,690 ", 776 ," 3,026 ", 888 ,,,
Gardenstown,S20000713, 670 , 92 , 408 , 170 ,,,
Garelochhead,S20000714," 2,110 ", 297 ," 1,570 ", 243 ,,,
Gargunnock,S20000715, 750 , 132 , 458 , 160 ,,,
Garmouth,S20000716, 580 , 92 , 354 , 134 ,,,
Gartcosh,S20000717," 2,130 ", 528 ," 1,423 ", 179 ,,,
