"city","VVD","PvdA","PVV","SP","CDA","D66","CU","GrLinks","SGP","PvdD","50+"
"Waalwijk","29.6","19.6","12.6","11.7","9.2","6","2.5","1.4","2","1.5","3.1"
"Waddinxveen","29.6","18.2","9.5","5","9","6","9","1.2","8.2","1.5","2.1"
"Wageningen","16.9","29.3","4.6","8.8","6.1","17.4","3.8","7.9","1.1","2.3","1"
"Wassenaar","52.6","10.9","8.5","4.1","8.1","8.7","0.8","1.5","0.3","1.9","1.9"
"Waterland","33.5","22","9.2","6.9","10.5","8.8","1.4","2.6","0.3","2.2","2"
"Weert","29.4","20.3","15.5","13.5","8.5","6.5","0.5","1.4","0.1","1.4","2.5"
"Weesp","28.6","26.8","11.3","7.4","5.8","10.1","1.1","3","0.4","2.2","2.5"
"Werkendam","26.3","14.7","10.5","7.2","13.6","3.5","7.2","1.1","12.6","1","1.7"
"West Maas en Waal","33.9","20","11.3","13","10.1","5.7","0.5","1.5","0.1","1.3","2"
"Westerveld","30.7","29.8","6.5","7.4","9.3","6.5","2.3","2.6","0.4","2.2","1.3"
"Westervoort","22.7","29","11.5","14","7.4","6.5","1.6","2.1","0.3","1.8","2"
"Westland","42.8","12.6","12.1","4.2","13.7","5.2","2.8","1.1","1.2","1.6","2.1"
"Weststellingwerf","25.8","32.8","9.5","9.1","9.9","4.4","2.2","1.6","0.4","1.8","1.6"
"Westvoorne","44.4","18","12.1","5.3","6.7","5.8","1.3","1.1","0.4","2.2","2"
"Wierden","29.3","13.8","7.8","6.5","22.5","4.4","8.6","0.9","3.3","0.7","1.5"
"Wijchen","27.6","23.4","10.9","14.8","9","7.9","0.6","1.7","0.1","1.5","1.9"
"Wijdemeren","43.4","16.9","7.8","5.5","8.7","8.7","1.8","1.6","0.7","2.2","2"
"Wijk bij Duurstede","34","20","10.6","8.4","7.2","7.9","2.4","2.4","2.6","1.9","1.7"
"Winsum","15.6","34.6","4.8","10.6","11.9","5.6","8.9","3.1","0.9","2","1.1"
"Winterswijk","27.6","31.7","7.6","11.3","8.7","6.2","1.6","1.4","0.2","1.3","1.4"
"Woensdrecht","31.2","19","16.2","11.1","9.3","5.3","0.6","1","0.1","2","3.3"
"Woerden","33.2","18.9","7.7","5.4","11.4","8.4","5.2","2","3.6","1.7","1.7"
"Wormerland","28.9","27.4","8.8","10.9","6.7","6.8","1.6","2.4","0.2","2.5","2.6"
"Woudenberg","30","12.2","6.7","4.1","10.6","4.8","9","0.9","19","1","1.1"
"Woudrichem","26.7","15.1","8.9","7.6","14.6","3.7","14.3","1.3","4.4","1.2","1.5"
"Zaanstad","24","30.8","12","10.9","5","6.5","1.5","2.3","0.4","2.8","2.8"
"Zaltbommel","25.3","18.8","8.5","7","8","5.9","6.6","1.7","15.1","1.1","1.4"
"Zandvoort","42","19.2","12.2","6","4.3","7.2","0.4","1.3","0.1","3.2","2.7"
"Zederik","26.1","13.7","6.7","4.2","16.2","3","12.4","0.9","13.8","1.2","1.2"
"Zeevang","41.9","21.4","9.9","6.5","4.7","7.3","0.8","1.8","0.2","2.4","2.4"
"Zeewolde","39.6","15.2","9.4","5.7","8","6.2","8.5","1.4","1.8","1.7","1.6"
"Zeist","31.7","22.6","7.5","6.6","6.7","11.2","3.2","3.5","2","2.4","1.5"
"Zevenaar","26.1","26.7","11.3","11.7","9.9","7","0.8","1.7","0.1","1.6","2.3"
"Zijpe","36.6","22.6","9.3","7.9","8.6","6.9","0.6","1.7","0.3","2.1","2.3"
"Zoetermeer","29.8","24.8","13.2","8.4","5.3","7.5","2.4","1.6","1.1","2.2","2.4"
"Zoeterwoude","33.1","20.7","9.1","7.2","11.9","9.5","0.9","2.4","0.9","2.1","1.6"
"Zuidhorn","17.3","26.8","4.7","8.1","13.8","6.2","15.4","2.7","2","1.5","0.8"
"Zuidplas","34.2","17.3","9.6","5.7","7.7","6.4","6","1.2","7.3","2","1.6"
"Zundert","35.7","16.8","12.4","11.2","12.2","6","0.5","1","0.1","1.3","2.1"
"Zutphen","18.6","33.8","7.1","12.3","6.1","9.1","2.5","4","0.3","3.1","1.7"
"Zwartewaterland","17.7","14.8","6.4","5.3","12.3","2.5","17.1","0.6","20.9","0.6","1.2"
"Zwijndrecht","26.4","21.7","13.3","8","8.6","5","5.9","1.2","4.7","2","2.3"
"Zwolle","19.7","29.7","6","9.5","7.5","9.3","10.2","3.2","1.1","1.8","1.2"
