Table 1a: All settlements by locality and Council area (sorted alphabetically by settlement),,,,,,
,,,,,,
"Settlement name1, 2",Settlement code,Locality name1,Locality code,Council area name,Council area code,
"Cowdenbeath, Settlement of",S20000617,Lochgelly and Lumphinnans,S19001028,Fife,S12000015,
Cowie,S20000618,Cowie,S19000783,Stirling,S12000030,
Coylton,S20000619,Coylton,S19000784,South Ayrshire,S12000028,
Crail,S20000620,Crail,S19000785,Fife,S12000015,
Creetown,S20000621,Creetown,S19000786,Dumfries & Galloway,S12000006,
Crieff,S20000622,Crieff,S19000787,Perth & Kinross,S12000024,
Crimond,S20000623,Crimond,S19000788,Aberdeenshire,S12000034,
Cromarty,S20000624,Cromarty,S19000789,Highland,S12000017,
Crook of Devon,S20000625,Crook of Devon,S19000790,Perth & Kinross,S12000024,
Crossford (Fife),S20000626,Crossford (Fife),S19000791,Fife,S12000015,
Crossford (South Lanarkshire),S20000627,Crossford (South Lanarkshire),S19000792,South Lanarkshire,S12000029,
Crosshill,S20000628,Crosshill,S19000794,South Ayrshire,S12000028,
Crosshouse,S20000629,Crosshouse,S19000795,East Ayrshire,S12000008,
Croy,S20000630,Croy,S19000796,North Lanarkshire,S12000044,
Cruden Bay,S20000631,Cruden Bay,S19000797,Aberdeenshire,S12000034,
Cullen,S20000632,Cullen,S19000798,Moray,S12000020,
"Culloden, Settlement of",S20000633,Balloch,S19000676,Highland,S12000017,
"Culloden, Settlement of",S20000633,Culloden,S19000799,Highland,S12000017,
"Culloden, Settlement of",S20000633,Smithton,S19001182,Highland,S12000017,
"Culloden, Settlement of",S20000633,Westhill (Highland),S19001259,Highland,S12000017,
Cumbernauld (part),S20000634,Cumbernauld (part),S19000800,East Dunbartonshire,S12000045,
Cumbernauld (part),S20000634,Cumbernauld (part),S19000800,North Lanarkshire,S12000044,
Cuminestown,S20000635,Cuminestown,S19000801,Aberdeenshire,S12000034,
Cumnock,S20000636,Cumnock,S19000802,East Ayrshire,S12000008,
Cupar,S20000637,Cupar,S19000803,Fife,S12000015,
Dailly,S20000638,Dailly,S19000804,South Ayrshire,S12000028,
Dalbeattie,S20000639,Dalbeattie,S19000805,Dumfries & Galloway,S12000006,
